Country,Literacy_Rate,Pop_15_29,HDI,WEF_Tech_Readiness_Index,WEF_Inno_Cap,ICT_Goods_X,ICT_Service_X,ICT_Goods_Imp,Access_DigContent,Intl_Int_Bandwidth,SN_Use,MobilePen,Fixed_BB_Subscribers,Internet_Pen,Econ_CyberPower,GDP_Cap,NtlReplies,Reso_Sponsor,FOC,G20,UNGGE,SecureServers,WEF_Uni_Indus,WGIVoiceAccountability,WGIPoliStab,WCITVote,PoliWeb,E-participation,CivicusEnabEnviro,InternetUsers,Population,USAID_NGO,FreedomHouse,DI_RegimeType,DIScore,BMStatus,EPgovern,InterestGroups,CSOtraditions,CSOIndex,EffectiveSupport,GovPartner,geo_longitude,geo_latitude
Albania,96.8453,28.3,0.749,3.75,3,0.523498088,10.91825178,3.579902835,4.2,19,5.5,108.4473347,4.957592444,54.7,0,3999.92531,0,0,0,0,0,13.7,2.6,0.01,-0.16,0,0,0.1053,0.55,0,3162083,3.9,PF,Hybrid Regime,5.67,7.02,7,6,8,6,7,7,19.9999619,41.000028
Algeria,0,27.8,0.713,2.78,2.3,0.00304572,59.42919173,3.352263374,3.3,8.9,5.2,103.3058644,3.045291997,15.2,0,5347.704734,0,0,0,0,0,0.9,2.1,-0.91,-1.34,1,0,0.0526,0,0,38481705,0,NF,Authoritarian Regime,3.83,4.78,2,4,6,4,5,5,2.9999825,28.0000272
Andorra,0,14,0.846,0,0,0,0,0,0,0,0,74.2704358,30.96505862,86.4,0,0,0,0,0,0,0,0,0,1.43,1.32,0,0,0.1579,0,86.43442462,78360,0,F,0,0,0,0,0,0,0,0,0,1.5732033,42.5407167
Antigua and Barbuda,98.95,24.1,0.76,0,0,12.10845768,6.539545419,3.800763355,0,0,0,198.6178323,5.634736493,83.8,0,12733.49043,0,0,0,0,0,0,0,0.65,1,0,0,0.1316,0,83.78716745,89069,0,F,0,0,0,0,0,0,0,0,0,-61.8222516,17.079128
Argentina,97.85877,23.4,0.811,3.47,3.3,0.104540325,46.02495569,8.693879671,4.8,25.7,5.8,142.5117584,10.88405974,55.8,35.4,11573.06497,1,1,0,1,1,33.6,3.7,0.25,0.07,1,7,0.2895,0.61,55.8,41086927,0,F,Flawed Democracy,6.84,6.95,8,7,4,6,6,5,-65.241974,-35.1124869
Armenia,99.56817,25.5,0.729,3.76,3.4,0.729609737,13.46015363,4.193539169,4.9,22.2,5.4,106.8789619,6.638335759,39.2,0,3351.381364,0,1,0,0,0,27.7,3.2,-0.57,0.11,0,0,0,0.47,39.16079157,2969081,3.9,PF,Hybrid Regime,4.09,5.59,2,6,5,3,7,7,44.6736646,40.7696272
Azerbaijan,0,27.8,0.734,4.11,4.1,0.003807888,14.99248036,3.458040033,5,19.1,5.9,107.4721324,13.7986185,54.2,0,7163.704143,0,1,0,0,0,4.7,3.4,-1.26,-0.69,1,0,0.1316,0.43,54.2,9297507,4.7,NF,Authoritarian Regime,3.15,4.85,2,4,7,3,6,7,47.8207429,40.1636668
Bahamas,0,25.1,0.794,0,0,1.689290456,0,2.739836534,0,0,0,72.30802078,2.761369298,71.7,0,21908.28046,0,0,0,0,0,0,0,0.94,1.18,0,0,0.0789,0,71.74820281,371960,0,F,0,0,0,0,0,0,0,0,0,-78.0000547,24.7736546
Bahrain,0,26.7,0.796,4.83,3.4,1.825769141,22.84482759,5.792736999,5.9,14.7,6.2,156.2284983,12.73835313,88,0,0,0,0,0,0,0,117.9,2.9,-1.32,-1.13,1,5,0.6579,0,88,1317827,0,NF,Authoritarian Regime,2.53,5.89,1,6,5,4,6,7,50.5344606,26.1551249
Barbados,0,20.9,0.821,4.49,3.4,0.664384483,0,5.034157978,6,38.2,6.1,126.3978436,23.82253306,73.3,0,14917.14951,0,0,0,0,0,401.6,4.3,1.18,1.2,1,0,0.0263,0,73.32981369,283221,0,F,0,0,0,0,0,0,0,0,0,-59.5250305,13.1500331
Belarus,0,20.8,0.793,0,0,0.388378553,17.97213031,1.707173626,0,0,0,112.059546,26.56463428,46.9,0,6685.018749,1,1,0,0,1,0,0,-1.54,0.02,0,0,0.0789,0.41,46.90600584,9464000,5.8,NF,Authoritarian Regime,3.04,4.36,2,4,7,2,4,2,27.6999547,53.4250438
Belize,0,29.9,0.702,0,0,0.478286415,10.98057344,2.421316537,0,0,0,50.61826995,3.07531484,25,0,0,0,0,0,0,0,0,0,0.69,0.18,1,0,0.1842,0,25,324060,0,F,0,0,0,0,0,0,0,0,0,-88.7600927,16.8259793
Bolivia,0,28.9,0.675,3.01,3.5,5.68E-05,11.79489435,3.305479746,3.6,4.7,3.9,92.63840839,1.07923055,34.2,0,2575.683695,3,1,0,0,0,9.5,3.5,-0.13,-0.5,0,0,0.2105,0.52,34.18843423,10496285,0,PF,Hybrid Regime,5.84,6.23,8,6,6,8,7,5,-62.7866887,-16.1779043
Bosnia and Herzegovina,98.00262,20.4,0.735,3.8,3.1,0.136262355,5.546377759,2.566883912,5.4,17.8,5.6,89.53313561,10.79264523,65.4,0,4555.64457,0,0,0,0,0,20.3,4.3,-0.14,-0.54,0,0,0,0.52,65.35609448,3833916,3.7,PF,Hybrid Regime,5.11,6.41,8,6,5,5,6,4,18.0075263,44.1264398
Botswana,85.09085,31.9,0.634,3.5,3.2,0.143115966,41.85284079,2.452125339,4.4,8.4,5,150.0911001,0.781887332,11.5,0,7238.019365,0,0,0,0,0,8.9,3.2,0.5,1.11,1,3,0.0263,0.58,11.5,2003910,4.2,F,Flawed Democracy,7.85,7.78,10,6,6,7,9,9,24.5928742,-23.1681782
Brazil,0,25.3,0.73,3.97,4,0.699902501,55.746713,8.828039842,4.9,28,5.8,125.1878012,9.168616425,49.8,38.6,11339.52111,2,1,0,0,0,54.2,4,0.43,0.07,1,5,0.5,0.59,49.84799936,198656019,0,F,Flawed Democracy,7.12,8.06,9,8,3,9,10,10,-51.3333976,-8.4666145
Brunei Darussalam,95.447,27.4,0.855,4.11,3.5,0,0,0,5.4,22,6.1,113.7682493,4.807310386,60.3,0,41126.61284,2,0,0,0,0,113.3,3.6,-0.49,0.92,1,0,0.4737,0,60.27306504,412238,0,NF,0,0,0,0,0,0,0,0,0,114.5653908,4.4137155
Bulgaria,98.35245,17.4,0.782,3.87,3.2,2.128878949,22.79705626,5.612704295,5,70.6,5.3,145.7274544,17.64578819,55,0,6978.053084,0,0,0,0,0,139.1,3,0.38,0.33,0,0,0.0263,0,55.14809787,7304632,3.3,F,Flawed Democracy,6.72,8.29,9,8,4,8,9,8,25.4856617,42.6073975
Cameroon,0,27.9,0.495,2.95,3.1,0.043136585,29.74043805,2.775395552,3.6,0.3,4.7,64.03876351,0.005373995,5.7,0,1166.91341,0,0,0,0,0,1,3,-1.03,-0.58,0,5,0.0263,0,5.69898724,21699631,0,NF,Authoritarian Regime,3.44,4.29,2,5,7,3,5,5,13.1535811,4.6125522
Cape Verde,84.93627,31.2,0.586,3.78,2.9,0,4.562052467,3.324688805,4.4,5.8,5.2,84.16397044,3.780264577,34.7,0,3695.424487,0,0,0,0,0,16,3.2,0.95,0.78,1,0,0.2368,0,34.7434142,494401,0,F,Flawed Democracy,7.92,0,0,0,0,0,0,0,-24.0083947,16.0000552
China,0,23.7,0.699,4.03,4.2,26.76018206,34.91592245,17.9992439,5.3,2.7,4.9,81.26473417,12.9746388,42.3,34.6,6091.014352,4,1,0,1,1,2.4,4.4,-1.58,-0.54,1,0,0.2105,0.41,42.30011749,1350695000,0,NF,Authoritarian Regime,3,4.94,2,2,9,3,7,8,104.999927,35.000074
Colombia,93.58054,26.5,0.719,3.91,3.4,0.097547674,18.37582594,8.500468708,4.6,16.8,5.4,103.1874415,8.359835568,49,0,7747.841321,0,1,0,0,0,21.2,3.8,-0.11,-1.4,0,10,0.7368,0.52,48.9843188,47704427,0,PF,Flawed Democracy,6.63,6.28,6,6,5,4,8,7,-73.7845072,2.8930783
Costa Rica,96.25802,27,0.773,4.15,4,19.48511619,32.15110364,18.21352339,5.2,36.2,5.8,128.319647,10.04073033,47.5,0,9386.304835,1,1,1,0,0,111.3,4.4,1.06,0.63,0,10,0.3158,0.66,47.50091452,4805295,0,F,Full Democracy,8.1,8.84,10,9,2,8,9,10,-84.0739102,10.2735633
Cote d'Ivoire,56.86751,0,0.432,3,2.9,0.054383265,0,3.082330227,3.4,18,5.3,96.27194779,0.240354093,2.4,0,1243.986075,0,0,0,0,0,0.9,2.8,-0.79,-1.26,1,0,0.1316,0,2.37895803,19839750,0,PF,Authoritarian Regime,3.25,3.31,2,3,8,3,3,2,-5.5679458,7.9897371
Croatia,99,18.9,0.805,4.17,3.1,1.548419138,14.48273656,4.214896973,5.4,19.9,5.2,113.3103477,20.29169599,63,0,13880.53607,0,0,0,0,0,224.6,3.5,0.48,0.58,0,0,0.2895,0.6,63,4267000,3.2,F,Flawed Democracy,6.93,8.25,9,8,4,7,8,9,17.0118954,45.5643442
