Country,geo_longitude,geo_latitude,swingstate,dem_Score,dem_Type,FreedomHouse,EP_Govern,InterestGroups,Eff_Support,Gov_Partner,SponsorReso,NtlReplies,WCIT_Record,UNGGE,FOC,G20Mem,CyberPower,UNSC,IntPenRate,FBB_Sub,MobilePen,SocialNetworkUse,DigiContentAccess,IntlIntBandwith,WEF_NetReady,WEF_InnoCapacity,ICT_Goods_X,ICT_Services_X,ICT_Goods_Imp,BertStatus,WGI_StabilityViolence,LiteracyRate,Pop_15_29,HDI,CivicusEnviro,CSO_Traditions,CSO_Index,E_Participation,PoliWebUse
Albania,19.9999619,41.000028,1,5.67,3,2,7,6,7,7,0,0,0,0,0,0,null,null,54.7,4.957592444,108.4473347,5.5,4.2,19,3.75,3,0.523498088,10.91825178,3.579902835,7.02,-0.16,96.8453,28.3,0.749,0.55,8,6,0.1053,null
Algeria,2.9999825,28.0000272,null,3.83,4,3,2,4,5,5,0,0,1,0,0,0,null,null,15.2,3.045291997,103.3058644,5.2,3.3,8.9,2.78,2.3,0.00304572,59.42919173,3.352263374,4.78,-1.34,null,27.8,0.713,null,6,4,0.0526,null
Argentina,-65.241974,-35.1124869,1,6.84,2,1,8,7,6,5,1,1,1,1,0,1,35.4,null,55.8,10.88405974,142.5117584,5.8,4.8,25.7,3.47,3.3,0.104540325,46.02495569,8.693879671,6.95,0.07,97.85877,23.4,0.811,0.61,4,6,0.2895,7
Armenia,44.6736646,40.7696272,1,4.09,3,2,2,6,7,7,1,0,0,0,0,0,null,null,39.2,6.638335759,106.8789619,5.4,4.9,22.2,3.76,3.4,0.729609737,13.46015363,4.193539169,5.59,0.11,99.56817,25.5,0.729,0.47,5,3,0,null
Azerbaijan,47.8207429,40.1636668,null,3.15,4,3,2,4,6,7,1,0,1,0,0,0,null,null,54.2,13.7986185,107.4721324,5.9,5,19.1,4.11,4.1,0.003807888,14.99248036,3.458040033,4.85,-0.69,null,27.8,0.734,0.43,7,3,0.1316,null
Belarus,27.6999547,53.4250438,1,3.04,4,3,2,4,4,2,1,1,0,1,0,0,null,null,46.9,26.56463428,112.059546,null,null,null,null,null,0.388378553,17.97213031,1.707173626,4.36,0.02,null,20.8,0.793,0.41,7,2,0.0789,null
Bolivia,-62.7866887,-16.1779043,1,5.84,3,2,8,6,7,5,1,3,null,0,0,0,null,null,34.2,1.07923055,92.63840839,3.9,3.6,4.7,3.01,3.5,5.68E-05,11.79489435,3.305479746,6.23,-0.5,null,28.9,0.675,0.52,6,8,0.2105,null
Bosnia,18.0075263,44.1264398,null,5.11,3,2,8,6,6,4,0,0,null,0,0,0,null,null,65.4,10.79264523,89.53313561,5.6,5.4,17.8,3.8,3.1,0.136262355,5.546377759,2.566883912,6.41,-0.54,98.00262,20.4,0.735,0.52,5,5,0,null
Botswana,24.5928742,-23.1681782,1,7.85,2,1,10,6,9,9,0,0,1,0,0,0,null,null,11.5,0.781887332,150.0911001,5,4.4,8.4,3.5,3.2,0.143115966,41.85284079,2.452125339,7.78,1.11,85.09085,31.9,0.634,0.58,6,7,0.0263,3
Brazil,-51.3333976,-8.4666145,1,7.12,2,1,9,8,10,10,1,2,1,0,0,0,38.6,null,49.8,9.168616425,125.1878012,5.8,4.9,28,3.97,4,0.699902501,55.746713,8.828039842,8.06,0.07,null,25.3,0.73,0.59,3,9,0.5,5
