id,Albania,Algeria,Andorra,Antigua and Barbuda,Argentina,Armenia,Azerbaijan,Bahamas,Bahrain,Barbados,Belarus,Belize,Bolivia,Bosnia and Herzegovina,Botswana,Brazil,Brunei Darussalam,Bulgaria,Cameroon,Cape Verde,China,Colombia,Costa Rica,Cote d'Ivoire,Croatia,Cuba,Cyprus,Dominica,Dominican Republic,Ecuador,Egypt,El Salvador,Fiji,Gabon,Georgia,Ghana,Grenada,Guatemala,Guyana,Honduras,Hong Kong,India,Indonesia,Iran,Iraq,Jamaica,Jordan,Kazakhstan,Kenya,Kosovo,Kuwait,Kyrgyzstan,Latvia,Lebanon,Libya,Liechtenstein,Lithuania,Macedonia,Malaysia,Maldives,Malta,Marshall Islands,Mauritius,Micronesia,Moldova,Monaco,Mongolia,Montenegro,Morocco,Namibia,Nauru,Nicaragua,Nigeria,North Korea,Oman,Pakistan,Palau,Panama,Papua New Guinea,Paraguay,Peru,Philippines,Qatar,Romania,Russian Federation,San Marino,Saudi Arabia,Serbia,Seychelles,Singapore,South Africa,Sri Lanka,St. Lucia,St.Kitts and Nevis,St.Vincent and the Grenadines,Suriname,Swaziland,Syrian Arab Republic,Tajikistan,Thailand,Tonga,Trinidad and Tobago,Tunisia,Turkmenistan,Ukraine,United Arab Emirates,Uruguay,Uzbekistan,Venezuela,Viet Nam,Zimbabwe
Literacy_Rate,96.8453,,,98.95,97.85877,99.56817,,,,,,,,98.00262,85.09085,,95.447,98.35245,,84.93627,,93.58054,96.25802,56.86751,99,98.8807,,,,,91.5869,,,,51.10727,,,,55.27518,,85.12331,,,92.8119,,98.97965,,95.90445,,,,,,59.20384634,,89.5361,,95.64004,,,33.44121,,58.61391,93.51998,82.84088308,98.97083,,97.35589,98.45932,92.67915,,,,,,,,,,62.42167,,,90.34799,,97.70193,98.83078,,,98.01291,43.2831,,,,,,71.93777,,,84.05794,,60.40995,,98.83491,94.10609,,99.71874,93.59723224,,83.22246,,83.58272
Pop_15-29,28.3,27.8,14,24.1,23.4,25.5,27.8,25.1,26.7,20.9,20.8,29.9,28.9,20.4,31.9,25.3,27.4,17.4,27.9,31.2,23.7,26.5,27,,18.9,21.1,24.7,25.2,26.7,27.1,27.1,29,25.7,28.4,22.5,26.9,26.4,30.8,27.9,30.1,18.6,26.5,25.1,31.1,28.6,30.9,28.3,26.2,27.6,28.1,27.5,29,20.2,26.4,28.7,17.8,21,22,25.2,37.1,19.8,27.4,22.7,28.8,24.1,13.5,29.7,19.5,27.2,33.2,28.3,31.5,27,23.8,31.1,30.6,25.1,25.4,27.4,29.5,27.6,27.6,29.3,19.5,20.4,23.4,25,24.7,15.6,30.3,18.6,22.9,30.9,29.1,22.8,26.9,32.2,30.2,30.5,22.5,26.8,23.3,25.3,30.8,20.5,28.6,23,31.4,26.8,28,32.6
HDI,0.749,0.713,0.846,0.76,0.811,0.729,0.734,0.794,0.796,0.821,0.793,0.702,0.675,0.735,0.634,0.73,0.855,0.782,0.495,0.586,0.699,0.719,0.773,0.432,0.805,0.78,0.848,0.745,0.702,0.724,0.662,0.68,0.702,0.683,0.745,0.558,0.77,0.581,0.636,0.632,0.906,0.554,0.629,0.742,0.59,0.73,0.7,0.754,0.519,,0.79,0.622,0.814,0.745,0.769,0.883,0.818,0.74,0.769,0.688,0.847,,0.737,0.645,0.66,,0.675,0.791,0.591,0.608,,0.599,0.47,,0.731,0.515,0.791,0.78,0.466,0.669,0.741,0.654,0.834,0.786,0.788,,0.782,0.769,0.806,0.895,0.629,0.715,0.725,0.745,0.733,0.684,0.563,0.648,0.622,0.69,0.71,0.76,0.712,0.698,0.74,0.818,0.792,0.654,0.748,0.617,0.397
WEF_Tech_Readiness_Index,3.75,2.78,,,3.47,3.76,4.11,,4.83,4.49,,,3.01,3.8,3.5,3.97,4.11,3.87,2.95,3.78,4.03,3.91,4.15,3,4.17,,4.59,,3.62,3.58,3.78,3.53,,2.97,3.93,3.51,,3.42,3.45,3.32,5.4,3.88,3.84,3.43,,3.74,4.2,4.32,3.54,,3.94,3.09,4.43,3.53,2.77,,4.72,3.89,4.82,,4.9,,4.12,,3.84,,4.01,4.2,3.64,3.29,,2.93,3.27,,4.48,3.35,,4.22,,3.37,3.39,3.73,5.1,3.86,4.13,,4.82,3.7,3.8,5.96,3.87,3.88,,,,3.13,2.69,,3.29,3.86,,3.87,,,3.87,5.07,4.16,,3.33,3.74,3.17
WEF_Inno_Cap,3,2.3,,,3.3,3.4,4.1,,3.4,3.4,,,3.5,3.1,3.2,4,3.5,3.2,3.1,2.9,4.2,3.4,4,2.9,3.1,,3.3,,3.2,3.7,3.1,3.7,,2.5,3,3.7,,3.7,4,3.1,4.2,4,4.4,3.4,,3.6,3.5,3.5,4.1,,2.6,2.6,3.5,3.4,2.5,,4,3.2,4.9,,3.8,,3.5,,2.7,,3.1,3.6,2.8,3.4,,3.4,3.4,,3.6,3.7,,3.7,,3,3.1,3.8,4.8,3.4,3.5,,3.9,2.8,3.6,4.8,4.1,3.8,,,,3.1,3.2,,,3.4,,2.9,3.2,,3.2,4,3.4,,2.8,3.4,2.9
ICT_Goods_X,0.523498088,0.00304572,,12.10845768,0.104540325,0.729609737,0.003807888,1.689290456,1.825769141,0.664384483,0.388378553,0.478286415,5.68E-05,0.136262355,0.143115966,0.699902501,,2.128878949,0.043136585,,26.76018206,0.097547674,19.48511619,0.054383265,1.548419138,,5.636326288,,2.071477819,0.116154351,0.156807359,,,,,0.048701944,,0.323696942,0.278467901,,42.47999733,2.182670486,3.855039357,,,,1.471553562,0.142425714,,,,0.238271609,5.388582606,0.949849535,,,2.401659967,0.337782354,29.43901467,,22.89231065,,0.548654764,,0.561561983,,,0.237505731,,0.626738158,,0.142928498,0.016838207,,0.142685197,0.236822273,,7.873173662,,0.102702252,0.053732404,22.74042607,,7.821129363,0.256656641,,,1.419023104,,28.91076562,0.820225113,0.387768178,,22.52237601,0.665115285,0.093134831,,,,15.57398749,,,7.376833321,,0.891249774,,,,0.008479032,,
ICT_Service_X,10.91825178,59.42919173,,6.539545419,46.02495569,13.46015363,14.99248036,,22.84482759,,17.97213031,10.98057344,11.79489435,5.546377759,41.85284079,55.746713,,22.79705626,29.74043805,4.562052467,34.91592245,18.37582594,32.15110364,,14.48273656,,25.08127218,14.50779789,4.345531979,,7.27897532,11.47214199,,,4.614466265,,15.86743327,17.4573341,41.41430875,11.49168111,,65.89388319,38.23105459,,11.96611366,9.446322256,,10.58897363,,20.74139065,34.46366905,15.90422153,20.4547399,56.75932581,,,9.015514593,23.98631101,27.85588279,,12.50658893,,35.38188685,,25.31027124,,20.69216366,7.883874378,21.7959865,,,18.6540732,4.392706462,,24.07239819,20.06263816,,8.07822938,,1.939056086,15.0593479,67.27956989,,36.7034471,31.92455578,,3.590032091,42.0019184,6.439606818,23.96139661,10.55610626,24.61713123,9.095911326,16.68546676,23.79503813,26.72860374,,,40.73527335,16.18970684,,,9.562124805,,19.20776943,,15.87108995,,11.90583975,,
ICT_Goods_Imp,3.579902835,3.352263374,,3.800763355,8.693879671,4.193539169,3.458040033,2.739836534,5.792736999,5.034157978,1.707173626,2.421316537,3.305479746,2.566883912,2.452125339,8.828039842,,5.612704295,2.775395552,3.324688805,17.9992439,8.500468708,18.21352339,3.082330227,4.214896973,,4.594470047,,3.460357698,6.30959041,3.458242729,,,,,5.299471318,,5.991881826,3.624847272,,40.4118163,5.973562352,7.405550286,,,,4.091323578,5.742580134,,,,3.82216916,5.441726461,2.339595133,,,3.696687524,3.686389522,25.62321138,5.845608781,12.99932311,,4.347963828,,3.45044747,,,3.289655989,,3.622383708,,4.400943842,3.910269287,,2.909508631,3.555264101,,8.084199741,,21.65974334,7.389967533,13.16044875,,7.984901044,7.693379792,,,4.295099763,,23.54167751,8.380118232,3.542381217,,5.867519761,3.571953429,2.781698589,,,,11.91912197,,,6.625126445,,2.58609117,,,,6.387965335,,
Access_DigContent,4.2,3.3,,,4.8,4.9,5,,5.9,6,,,3.6,5.4,4.4,4.9,5.4,5,3.6,4.4,5.3,4.6,5.2,3.4,5.4,,5.5,,4.9,4.2,4.4,5.1,,2.5,5,4.2,,4.9,4.9,4.3,6.2,4.6,4.9,4,,5.2,5.4,5.1,4.7,,5.3,5.2,5.6,4.2,3.5,,6.1,5.1,5.6,,6.2,,4.8,,5.1,,5.3,5.3,4.5,4.3,,4,4.6,,5.3,4.4,,5,,4.3,4.4,4.9,6,5.2,5.1,,5.5,4.2,5.1,6.4,4.8,4.4,,,,4.1,3.9,,4.7,4.7,,5.1,,,5.4,6.1,,,4.4,5.3,3.6
Intl_Int_Bandwidth,19,8.9,,,25.7,22.2,19.1,,14.7,38.2,,,4.7,17.8,8.4,28,22,70.6,0.3,5.8,2.7,16.8,36.2,18,19.9,,53.6,,11.8,27.7,3.8,6,,6.3,26.7,0.2,,6.9,4.5,4.9,1046.3,6.3,7.2,3.5,,29.5,6.3,21.9,4.5,,6,1.7,44.8,2.3,11,,57.6,17.9,10.7,,47.8,,12.7,,91.1,,53.6,84.6,7.6,2.3,,12.9,0.4,,6.3,8.2,,44.1,,9.5,9.3,12.4,22.3,126.1,31.7,,33,76.8,5.9,343.7,18.9,5.2,,,,10,2.3,,0.5,24.6,,19.8,,,9.8,27.6,32.1,,8.1,10,1.7
