country,WCIT (signed is bad),,,
Afghanistan,signed,,,
Albania,no,,,
Algeria,signed,,,89
Andorra,no,,,55
Angola,signed,,,0
Argentina,signed,,,
Armenia,no,,,
Australia,no,,,
Austria,no,,,
Azerbaijan,signed,,,
Bahrain,signed,,,
Bangladesh,signed,,,
Barbados,signed,,,
Belarus,no,,,
Belgium,no,,,
Belize,signed,,,
Benin,signed,,,
Bhutan,signed,,,
Botswana,signed,,,
Brazil,signed,,,
Brunei,signed,,,
Bulgaria,no,,,
BURKINA FASO,signed,,,
BURUNDI,signed,,,
Cambodia,signed,,,
CANADA,no,,,
Cape Verde,signed,,,
Central African Republic,signed,,,
Chile,no,,,
China,signed,,,
Colombia,no,,,
Comoros,signed,,,
COSTA RICA,no,,,
Croatia,no,,,
CUBA,signed,,,
Cyprus,no,,,
Czech Republic,no,,,
Denmark,no,,,
DJIBOUTI,signed,,,
Dominican Republic,signed,,,
EGYPT,signed,,,
EL SALVADOR,signed,,,
Estonia,no,,,
Finland,no,,,
FRANCE,no,,,
GABON,signed,,,
Gambia,no,,,
Georgia,no,,,
Germany,no,,,
GHANA,signed,,,
Greece,no,,,
GUATEMALA,signed,,,
GUYANA,signed,,,
Haiti,signed,,,
Hungary,no,,,
India,no,,,
Indonesia,signed,,,
Iran,signed,,,
IRAQ,signed,,,
Ireland,no,,,
Israel,no,,,
Italy,no,,,
Ivory Coast,signed,,,
Jamaica,signed,,,
Japan,no,,,
Jordan,signed,,,
KAZAKHSTAN,signed,,,
KENYA,no,,,
Kuwait,signed,,,
Kyrgyzstan,signed,,,
Latvia,no,,,
Lebanon,signed,,,
LESOTHO,signed,,,
Liberia,signed,,,
Libya,signed,,,
LIECHTENSTEIN,no,,,
Lithuania,no,,,
LUXEMBOURG,no,,,
MALAWI,no,,,
Malaysia,signed,,,
MALI,signed,,,
MALTa,no,,,
Marshall Islands,no,,,
Maurities,signed,,,
Mexico,signed,,,
MOLDOVA,no,,,
Mongolia,no,,,
Montenegro,no,,,
Morocco,signed,,,
MOZAMBIQUE,signed,,,
Namibia,signed,,,
NEPAL,signed,,,
Netherlands,no,,,
New Zealand,no,,,
NIGER,signed,,,
Nigeria,signed,,,
Norway,no,,,
OMAN,signed,,,
PANAMA,signed,,,
Papua New guinea,signed,,,
PARAGUAY,signed,,,
Peru,no,,,
PHILIPPINES,no,,,
Poland,no,,,
PORTUGAL,no,,,
QATAR,signed,,,
Republic of the Congo,signed,,,
Russia,signed,,,
RWANDA,signed,,,
Saudi Arabia,signed,,,
Senegal,signed,,,
Serbia,no,,,
SIERRA LEONE,signed,,,
Singapore,signed,,,
Slovakia,no,,,
Slovenia,no,,,
Somalia,signed,,,
South Africa,signed,,,
South Korea,signed,,,
South Sudan,signed,,,
Spain,no,,,
SRI LANKA,signed,,,
St Lucia,signed,,,
Sudan,signed,,,
SWAZILAND,signed,,,
Sweden,no,,,
Switzerland,no,,,
Thailand,signed,,,
TOGO,signed,,,
Trinidad and TOBAGO,signed,,,
Tunisia,signed,,,
Turkey,signed,,,
Uganda,signed,,,
UKRAINE,signed,,,
United Arab Emirates,signed,,,
United Kingdom,no,,,
United Republic of Tanzania,signed,,,
United States of America,no,,,
URUGUAY,signed,,,
Uzbekistan,signed,,,
VENEZUELA,signed,,,
Vietnam,signed,,,
Yemen,signed,,,
ZIMBABWE,signed,,,
