id,name
swingstate,Top-30 Swing State
dem_Score,Democracy Index: Score
dem_Type,Democracy Index: Regime Type (1=Full Democracy; 2 = Flawed Democracy; 3 = Hybrid Regime; 4 = Authoritarian Regime)
FreedomHouse,Freedom House Index (1 = F; 2 = PF; 3 = NF)
EP_Govern,Effective power to govern index (Q2.2)
InterestGroups,Interest Groups (Q5.2)
Eff_Support,Effective use of Support (Q17.1)
Gov_Partner,Government as a credible partner  (Q17.2)
SponsorReso,Sponsors of Resolution
NtlReplies,National Replies (1999-2011)
WCIT_Record,WCIT voting record (0 = No; 1= Yes)
UNGGE,Composition of UN GGE
FOC,Members of the Freedom Online Coalition?
G20Mem,G20 membership
CyberPower,Economist CyberPower Index
UNSC,UNSC Members (+/- 5 years)
IntPenRate,Internet Penetration Rate (users per 100 people)
FBB_Sub,Fixed broadband internet subscribers (per 100 people)
MobilePen,Mobile Phone Penetration (users per 100 people)
SocialNetworkUse,Use of virtual social networks (1-7 Scale)
DigiContentAccess,Access to Digital Content (1-7 Scale)
IntlIntBandwith,International Internet bandwidth
WEF_NetReady,WEF Network Readiness Index
WEF_InnoCapacity,WEF Capacity for Innovation (1-7 Scale)
ICT_Goods_X,ICT Goods exports (as a % of total)
ICT_Services_X,ICT Services exports (as a % of total)
ICT_Goods_Imp,ICT Goods imports (as a % of total)
BertStatus,Bertelsmann's Status Score
WGI_StabilityViolence,WGI: Political Stability and Absence of Violence (-3 to 3 scale)
LiteracyRate,Literacy Rate
Pop_15_29,% of Population 15-29
HDI,HDI
CivicusEnviro,Civicus Enabling Environment Index
CSO_Traditions,CSO traditions (Q13.2)
CSO_Index,CSO Index (Q16.4)
E_Participation,E-participation Index
PoliWebUse,Political Party use of Web for mobilization (1-10 Scale)
