country,WCIT (signed is bad)
AFGHANISTAN,signed
Albania,
Algeria,signed
Germany,
Andorra,
ANGOLA,signed
Saudi Arbia,signed
Argentina,signed
Armenia,
Australia,
Austria,
Azerbaijan,signed
Bahrain,signed
BANGLADESH,signed
Barbados,signed
Belarus,
Belgium,
Belize,signed
benin,signed
BHUTAN,signed
BOTSWANA,signed
brasil,signed
Brunei Darussalam,signed
Bulgaria,
BURKINA FASO,signed
BURUNDI,signed
Cambodia,signed
CANADA,
Cape Verde,signed
Central Africa Republic,signed
CHILI,
China,signed
Cyprus,
Colombia,
Comoros,signed
Republic of the Congo,signed
Korea,signed
COSTA RICA,
Cote D'Ivoire,signed
Croatia,
CUBA,signed
Denmark,
DJIBOUTI,signed
Dominican Republic,signed
EGYPT,signed
EL SALVADOR,signed
United Arab Emitrates,signed
Spain,
Estonia,
United States,
Russia,signed
Finland,
FRANCE,
GABON,signed
Gambia,
Georgia,
GHANA,signed
Greece,
GUATEMALA,signed
GUYANA,signed
Haiti,signed
Hungary,
India,
Indonesia,signed
Iran,signed
IRAQ,signed
Ireland,
Israel,
Italy,
Jamaica,signed
Japan,
Jordan,signed
KAZAKHSTAN,signed
KENYA,
Kuwait,signed
LESOTHO,signed
Latvia,
Lebanon,signed
Liberia,signed
Libya,signed
LIECHTENSTEIN,
Lithuania,
LUXEMBOURG,
Malaysia,signed
MALAWI,
MALI,signed
MALTa,
Morocco,signed
Marshall Islands,
Maurities,signed
Mexico,signed
MOLDOVA,
Mongolia,
Montengro,
MOZAMBIQUE,signed
Namibia,signed
NEPAL,signed
NIGER,signed
Nigeria,signed
Norway,
New Zealand,
OMAN,signed
Uganda,signed
Uzbekistan,signed
PANAMA,signed
Papua New guinea,signed
PARAGUAY,signed
Netherlands,
Peru,
PHILIPPINES,
Poland,
PORTUGAL,
QATAR,signed
KyRGHyZISTAN,signed
Slovakia,
Czech Republic,
UK,
RWANDA,signed
St Lucia,signed
Senegal,signed
Serbia,
SIERRA LEONE,signed
Singapore,signed
Slovenia,
Somalia,signed
Sudan,signed
South Sudan,signed
SRI LANKA,signed
South Africa,signed
Swedan,
Switzerland,
SWAZILAND,signed
Tanzania,signed
Thailand,signed
TOGO,signed
Trinidad and TOBAGO,signed
Tunisia,signed
Turkey,signed
UKRAINE,signed
URUGUAY,signed
VENEZUELA,signed
VIET NAM,signed
Yemen,signed
ZIMBABWE,signed
